,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
The Shattered Halls,68.97,84.62,53.85,88.89,91.67,57.14,57.14,54.55,90,91.67,85.71,60.87
The Slave Pens,60,42.86,47.06,70.37,61.29,41.18,65.52,65.52,61.29,56.76,39.39,47.06
The Steamvault,50,66.67,38.1,66.67,71.43,38.1,35.29,40,71.43,62.5,70,44.44
The Underbog,38.89,25,28.57,46.15,43.75,28.57,38.46,42.86,42.86,46.67,29.41,28.57
Wrath of the Lich King,43.6,45.11,44.13,51.61,43.49,42.84,45.52,44.82,46.87,44.01,43.07,44.48
Vault of Archavon,14.19,10.96,10.08,20.75,14.54,8.88,11.28,13.61,11.21,9.52,7.49,8.59
Naxxramas,43.73,46.88,44.26,55.25,49.51,44.19,48.37,48.27,49.83,47.54,45.4,44.26
The Obsidian Sanctum,79.49,81.58,79.41,82.86,78.95,79.41,78.38,78.38,80.56,78.38,78.95,79.41
The Eye of Eternity,25,33.33,26.09,35,31.82,26.09,27.27,26.09,30.43,33.33,33.33,26.09
Ulduar,36.93,36.9,34.15,42.42,34.98,33.06,39.75,39.22,38.16,34.69,34.27,35.74
Trial of the Crusader,41.67,41.98,34.29,41.38,40.44,35.92,40.91,42.59,43.18,40.14,47.37,33.82
Icecrown Citadel,28.9,33.72,36.56,43.29,34.47,34.41,28.57,27.93,39.71,35.28,30.52,37.36
The Ruby Sanctum,30,50,50,37.5,37.5,50,30,30,37.5,37.5,50,50
Ahn'kahet: The Old Kingdom,80.43,79.49,78.38,86.21,81.82,78.38,82.5,84.62,87.1,79.41,80.56,78.38
Azjol-Nerub,69.44,81.48,69.7,75,61.29,65.62,83.33,78.12,67.74,67.74,71.43,69.7
Drak'Tharon Keep,73.91,73.68,81.25,58.82,52.63,81.25,76.19,77.27,57.89,61.11,75,81.25
Gundrak,83.67,87.8,87.18,83.33,84.78,87.8,90.7,90.7,84.78,80.43,92.68,87.18
Halls of Lightning,76,68.09,64,75,76.92,66.67,77.78,81.4,72.5,71.79,74.42,64
Halls of Reflection,20,18.37,21.43,20.93,21.43,22.5,23.4,22.45,18.37,17.31,20.93,21.43
Halls of Stone,77.5,85.29,89.29,84,78.12,89.29,77.14,77.14,84,83.33,85.29,89.29
Pit of Saron,48.15,40,41.03,50,48.48,43.24,47.37,50,50,48.48,41.67,41.03
The Culling of Stratholme,69.81,56.1,68.75,64.71,64.1,70.59,80.95,78.26,60,60.98,62.79,68.75
The Forge of Souls,15.22,20.59,22.58,29.17,22.58,22.58,19.44,19.44,23.33,22.58,20.59,22.58
The Nexus,80.85,73.17,80,86.49,82.93,75.68,82.93,83.72,82.05,82.93,71.11,80
The Oculus,58.93,70.83,66,78.38,75.61,68.75,62,64.58,67.44,79.49,73.91,66
The Violet Hold,78.69,81.25,77.5,74.29,68.29,73.81,82.35,83.64,65.12,66.67,86,77.5
Trial of the Champion,23.93,27.47,22.99,21.98,20.62,22.99,25.23,25.23,20.62,19.8,27.59,22.99
Utgarde Keep,70.59,76.47,70,77.78,80.65,75,72,75,79.31,75.76,80,70
Utgarde Pinnacle,84.21,80,73.81,80,80,75,89.8,89.8,76.19,78.26,82.05,73.81
Cataclysm,28.12,31.1,26.8,34.59,28.55,25.48,28.35,27.05,30.03,29.04,28.67,27.13
World Bosses,50,60,40,85.71,77.78,40,60,54.55,87.5,75,50,40
Baradin Hold,9.8,17.07,9.8,100,14.29,5.71,5.88,6.52,11.36,12.2,7.14,7.84
Blackwing Descent,11.34,12.99,13.51,15.15,13.51,13.33,13.1,13.64,14.29,12.5,12.5,13.51
The Bastion of Twilight,19.18,20.31,21.82,28.26,22.22,20.37,22.22,22.22,25.49,22.81,20,21.82
Throne of the Four Winds,40.48,42.11,44.12,42.86,46.88,53.57,40.48,40.48,42.86,39.47,47.06,44.12
Firelands,10.87,10.62,8.59,13.27,9.22,8.73,9.66,9.4,11.45,12.14,8.84,8.87
Dragon Soul,21.3,21.88,25.66,38.46,29.38,24.84,23.95,23.12,31.91,28.31,22.86,27.08
Blackrock Caverns,55.56,65.52,36,40.91,32.14,33.33,61.54,60,36,37.93,57.58,36
End Time,8,26.67,7.69,10,8.33,7.14,5,4.76,8.33,14.29,20,7.69
Grim Batol,93.33,100,91.3,71.43,74.19,84,90,90.91,68,70.37,94.29,91.3
Halls of Origination,47.37,68,55.56,73.33,68.75,55.56,52.94,50,61.11,64.71,62.96,55.56
Hour of Twilight,6.25,17.65,7.69,9.09,7.69,8.33,10,9.09,8.33,7.14,18.75,7.69
Lost City of the Tol'vir,72.41,90.48,75,82.35,69.57,59.09,76,70.37,69.57,69.57,65.22,75
The Stonecore,44.83,64,34.78,42.86,42.31,33.33,39.13,39.13,42.31,34.62,66.67,34.78
The Vortex Pinnacle,83.33,88.46,76.19,94.74,94.74,76.19,80.77,80.77,94.74,95.65,87.5,76.19
Throne of the Tides,53.85,61.54,52.94,52.38,52.38,52.94,58.33,58.33,47.83,52.38,61.54,52.94
Well of Eternity,23.53,35.71,27.27,23.08,18.75,23.08,20,20,18.75,25,25,27.27
Zul'Aman,27.5,20.59,18.75,18.18,17.14,18.18,26.32,26.32,17.14,18.92,17.65,18.75
Zul'Gurub,34.09,13.16,13.89,12.9,17.65,14.71,23.53,21.62,14.71,11.11,16.22,14.29
Mists of Pandaria,26.15,30.11,28.83,31.02,27.26,28.04,26.94,25.94,27.32,27.48,26.76,27.73
World Bosses,30.04,32.2,31.39,34.68,25.84,29.54,30.13,28.09,26.98,30.77,25.58,30.84
Mogu'shan Vaults,31.61,31.88,35.71,24.3,23.01,34.78,28.91,27.61,23.01,22.41,24.59,30.77
Heart of Fear,46.09,50,38.26,37.78,39.22,38.26,38.18,38.18,34.31,39.05,42.59,34.58
Terrace of Endless Spring,61.67,61.82,54.13,64.79,60,54.37,58.24,57.14,60.24,60.23,55.29,50.5
Throne of Thunder,11.51,14.9,12.5,16.11,13.45,11.48,12.85,12.4,14.85,13.37,14,12.75
Siege of Orgrimmar,14.48,17.09,18.56,21.16,18.18,18.39,16.27,15.97,17.86,17.7,16.67,18.56
Gate of the Setting Sun,54.29,60,62.96,71.43,68,65.52,70.37,61.29,73.91,62.96,58.62,62.96
Mogu'shan Palace,36.67,53.85,50,66.67,54.55,50,42.31,42.31,60,60,63.64,50
Scarlet Halls,88.24,86.67,84.62,81.82,85.71,83.33,85.71,85.71,81.82,85.71,86.67,83.33
Scarlet Monastery,100,100,100,100,100,100,100,100,100,100,100,100
Shado-Pan Monastery,48.57,55.56,58.82,57.89,52.38,58.82,58.62,54.84,52.38,57.89,48.39,58.82
Siege of Niuzao Temple,41.94,40.74,47.83,57.89,52.38,52.38,56.52,56.52,52.38,47.83,47.83,47.83
Stormstout Brewery,47.5,62.86,58.06,60.61,60.61,58.06,47.22,47.22,59.46,54.05,66.67,58.06
Temple of the Jade Serpent,54.29,61.29,68,60.71,56.67,62.96,61.29,61.29,53.12,53.12,61.29,68
Warlords of Draenor,38.9,34.54,35.55,35.26,32.12,34.99,39.47,40.37,32.96,30.98,34.23,35.73
World Bosses,27.78,11.11,27.78,11.11,11.11,27.78,26.32,27.78,11.11,11.11,11.11,27.78
Highmaul,63.16,58.97,58.27,55.15,55.63,58.04,64.54,63.09,55.63,55.41,56.63,58.27
Blackrock Foundry,58.36,49.69,43.43,51.87,45.33,44.11,55.48,58.58,46.64,43.81,50.31,44.11
Hellfire Citadel,9.2,9.9,8.24,14.83,8.09,7.25,9.89,9.89,9.23,8.21,9.18,8.24
Common Dungeon Drop,45,35.42,49.58,31.12,31.25,49.58,45,45,31.25,31.25,35.42,49.58
Auchindoun,6.25,7.14,8.33,12.5,10,12.5,10,10,10,8.33,10,8.33
Bloodmaul Slag Mines,26.67,22.73,14.29,11.11,22.73,11.11,19.23,26.67,19.23,9.09,19.23,14.29
Grimrail Depot,0,0,0,0,0,0,0,0,0,0,0,0
Iron Docks,21.43,20.83,18.75,31.25,25,20,31.25,31.25,25,25,25,18.75
Shadowmoon Burial Grounds,18.75,18.75,12.5,18.75,21.43,12.5,30,30,25,12.5,12.5,12.5
Skyreach,68.97,68,64.71,58.82,64.71,61.54,55.56,61.9,66.67,58.82,66.67,64.71
The Everbloom,10.34,9.52,11.76,15.38,14.29,14.29,17.65,14.29,14.29,14.29,12,11.76
Upper Blackrock Spire,67.35,60.98,58.62,68,63.64,42.86,63.64,67.57,72.41,63.64,63.64,58.62
Legion,27.58,18.57,15.38,18.48,21.86,15.86,25.27,26.28,21.04,21.18,17.61,15.27
World Bosses,55,40,34.15,33.33,37.5,36.59,47.62,51.22,36.59,36.59,36.59,34.15
The Emerald Nightmare,23.97,20.67,19.48,14.9,20.39,18.99,23.97,21.6,20.39,20.95,21.23,21.13
Trial of Valor,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0
The Nighthold,16.67,12.68,11.98,9.39,13.12,11.98,13.78,15.11,13.57,13.57,12.68,12.21
Tomb of Sargeras,2.47,3.16,1.85,1.78,1.81,1.81,2.47,2.47,1.81,1.81,3.7,1.85
"Antorus, the Burning Throne",3.59,1.49,2.13,2.14,2.12,1.6,3.83,5.18,2.65,2.72,1.63,1.63
Invasion Points,65.31,36.36,17.07,34.88,41.46,36.59,48.98,59.18,10.64,10.64,6.67,4.88
Assault on Violet Hold,50,19.12,29.03,29.73,35.48,29.03,41.89,50,35.48,35.48,20.97,29.03
Black Rook Hold,46.67,23.91,26.67,34,37.78,26.67,43.75,44.68,37.78,37.78,24.44,26.67
Cathedral of Eternal Night,38.46,15.38,15.38,14.29,15.38,15.38,38.46,38.46,15.38,15.38,15.38,15.38
Court of Stars,63.16,33.33,23.81,39.13,47.37,23.81,57.14,52.17,47.37,47.37,36.84,26.32
Darkheart Thicket,65.71,52.63,47.37,55.26,60,47.37,62.16,60.53,60,60,48.57,51.43
Eye of Azshara,67.57,47.5,47.5,41.3,51.35,47.5,60.98,58.14,51.35,51.35,42.11,51.35
Halls of Valor,63.64,47.73,37.21,47.92,53.49,37.21,58.33,62.22,53.49,53.49,46.51,37.21
Maw of Souls,63.64,43.75,32.26,33.33,38.71,32.26,57.58,57.58,38.71,38.71,45.16,32.26
Neltharion's Lair,60,37.21,27.5,48.89,55,27.5,54.55,57.14,55,55,40,27.5
Return to Karazhan,25.45,10,10,14.55,16,10,21.15,21.15,16,16,10,10
Seat of the Triumvirate,11.76,47.06,2.94,68.42,76.47,2.94,11.76,11.76,76.47,76.47,47.06,2.94
The Arcway,57.69,28.57,19.23,32.26,38.46,19.23,51.72,53.57,38.46,38.46,28.57,19.23
Vault of the Wardens,55,26.19,17.07,28.89,32.5,17.07,52.38,51.16,32.5,32.5,27.5,17.5
Battle for Azeroth,4.95,5.72,5.81,5.32,4.99,5.68,5.27,5.06,4.76,5.01,5.53,5.75
World Bosses,12.2,12.5,8.33,11.43,7.89,8.33,5.41,5.41,5.26,5.26,8.11,5.56
Uldir,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Dazar'alor,4.36,4.71,5.29,5.31,5.02,5.19,5.02,4.86,4.94,4.86,4.86,5.38
Crucible of Storms,0,0,0,0,0,0,0,0,0,0,0,0
The Eternal Palace,0,0,0,0,0,0,0,0,0,0,0,0
"Ny'alotha, the Waking City",4.43,4.38,4.65,0.95,0.9,4.65,5.29,5.11,0.87,0.84,4.68,4.65
Mythic+,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,8.33,11.11,13.89,18.92,16.67,12.82,11.11,10,17.95,15.56,9.8,13.89
Freehold,9.3,17.5,21.62,18.75,17.65,21.62,10.81,10.53,17.65,15,20.59,21.62
Kings' Rest,9.76,10.81,0,6.9,5.71,0,5.71,5.71,6.06,10.81,6.45,0
Operation: Mechagon,5.26,10.61,8.62,10.17,9.68,8.33,6.25,6.15,9.68,9.09,10.61,8.33
Shrine of the Storm,11.11,12.12,12.77,14.29,13.33,13.64,13.33,12.9,13.33,13.33,13.33,12.77
Siege of Boralus,14.81,26.09,19.05,8.7,8,19.05,14.81,14.81,8,8.7,26.09,19.05
Temple of Sethraliss,10.87,5.41,5.88,7.14,6.45,6.45,13.51,12.5,5.41,5.88,6.45,5.88
The MOTHERLODE!!,8.57,13.79,6.9,14.81,12.5,6.25,10,9.09,13.79,12.5,11.43,6.9
The Underrot,13.04,10,9.68,15.62,15,8.82,13.51,12.2,13.51,16.22,9.3,9.68
Tol Dagor,17.78,16.67,23.33,23.53,21.43,21.21,21.21,18.92,20.51,23.08,16.67,23.33
Waycrest Manor,10.71,13.21,21.95,10.42,11.32,19.15,10.64,11.11,10,11.32,13.21,20.45
Shadowlands,14.4,11.17,11.1,8.68,7.92,10.63,14.46,13.92,8.17,8.21,9.39,11.08
World Bosses,22.22,11.11,0,0,0,0,11.11,11.11,0,0,0,0
Castle Nathria,6,7.29,0.5,0.52,0.5,0.5,1.56,1.51,0.5,0.52,0.5,0.5
Sanctum of Domination,0,0,0,0,0,0,0,0,0,0,0,0
Mythic+,0,0,0,0,0,0,0,0,0,0,0,0
De Other Side,38.46,23.68,48.39,48,40,38.71,40,40,44.12,40,19.35,48.39
Halls of Atonement,42.86,25,24,57.14,42.86,22.22,48,48,44.44,50,21.43,25
Mists of Tirna Scithe,32.61,36.59,34.29,19.35,15.79,32.43,32.43,30,16.22,23.68,32.61,35.29
The Necrotic Wake,31.58,19.35,11.54,13.64,12,12,41.38,38.71,12,9.68,21.43,11.54
Plaguefall,30,15.79,26.47,20.69,16.22,25.71,34.29,35.29,17.65,15.79,17.65,26.47
Sanguine Depths,32.43,35.29,38.71,8.82,9.38,37.5,35.29,34.29,8.33,8.11,34.29,38.71
Spires of Ascension,35.29,26.47,25,25,21.43,25,44.44,42.86,19.35,21.43,32.14,24
"Tazavesh, the Veiled Market",18.75,15.22,18.6,12.2,11.9,19.51,21.95,21.43,11.63,11.36,15.91,18.6
Theater of Pain,27.91,16.67,33.33,21.43,17.65,29.03,32.43,30,18.18,17.65,15.38,32.14
