,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Utgarde Pinnacle,78.48,78.33,64.29,75.93,75.93,63.83,84.85,83.58,71.93,74.6,80.39,64.29
Cataclysm,28.96,33.4,27.24,36.32,28.51,24.8,29.29,27.38,31.61,30.07,28.84,27.66
World Boss,47.5,57.58,42.5,62.96,62.07,42.5,54.29,48.72,64.29,60.71,50,42.5
Baradin Hold,0,0,0,0,6.98,0,0,0,0,0,0,0
Blackwing Descent,10.78,12.82,13.33,15.15,15.66,12.5,12.36,14.43,14.29,12.35,11.24,13.33
The Bastion of Twilight,20.78,20,21.43,28.26,24.59,18.97,20.9,20,25.49,22.41,17.91,21.43
Throne of the Four Winds,33.33,36.36,37.5,42.86,37.5,34.88,29.82,30.3,42.86,34.09,27.59,37.5
Firelands,8.37,8.33,6.67,13.48,7.54,6.47,8.54,7.94,11.45,10.56,7.21,6.88
Dragon Soul,21.12,22.8,26.8,39.83,26.7,23.7,22.95,20.59,33.1,28.99,20.39,28.28
Blackrock Caverns,55.56,65.52,28,40.91,32.14,25.93,61.54,60,36,37.93,57.58,28
Deadmines,60,66.67,61.9,63.16,52.63,52.63,60.87,60.87,57.14,61.9,55,61.9
End Time,6.38,25.93,4.35,5.88,4.76,4,2.7,2.56,4.76,12,18.52,4.35
Halls of Origination,92.68,100,81.82,71.43,74.42,75,89.29,90,67.65,70.27,93.62,81.82
Lost City of the Tol'vir,36.84,68,40.74,66.67,62.5,40.74,41.18,38.89,55.56,58.82,62.96,40.74
The Vortex Pinnacle,6.25,17.65,7.69,9.09,7.69,8.33,10,9.09,8.33,7.14,18.75,7.69
Grim Batol,65.85,82.76,67.86,83.33,59.38,50,77.14,71.05,69.7,60.61,54.84,67.86
Hour of Twilight,83.33,93.33,60,91.67,85.71,60,87.5,87.5,92.31,84.62,93.33,60
Shadowfang Keep,42.86,63.89,33.33,37.93,37.84,31.43,36.36,36.36,37.84,29.73,65.71,33.33
The Stonecore,83.72,89.19,75.86,96.15,96.15,75.86,80.56,80.56,96.15,96.97,87.88,75.86
Throne of the Tides,55.26,61.11,47.83,41.38,41.38,47.83,58.82,60,37.5,41.38,62.16,47.83
Well of Eternity,23.53,35.71,27.27,23.08,18.75,23.08,20,20,18.75,25,25,27.27
Zul'Aman,27.5,20.59,18.75,18.18,17.14,18.18,26.32,26.32,17.14,18.92,17.65,18.75
Zul'Gurub,34.09,13.16,13.89,12.9,17.65,14.71,23.53,21.62,14.71,11.11,16.22,14.29
Mists of Pandaria,25.84,30.13,29.27,31.96,26.21,27.82,26.79,25.41,26.29,27.96,25.9,28.28
World Boss,27.16,27.32,29.6,32.37,20.97,27.85,27.63,25.94,22.22,26.92,21.71,29.6
Mogu'shan Vaults,31.61,30.43,35.71,24.3,23.01,34.78,28.91,27.61,23.01,22.41,22.95,30.77
Heart of Fear,45.99,50,38.26,37.78,40.31,36.29,36.97,35.94,29.17,39.05,38.89,34.58
Terrace of Endless Springs,59.52,61.82,54.13,64.79,52.43,52.29,56.7,52.43,52.63,60.23,50.52,50.5
Throne of Thunder,11.2,13.74,12.47,15.45,12.31,11.06,12.84,12.05,14.25,12.86,12.45,12.71
Siege of Orgrimmar,14.09,17.24,18.74,21.75,16.16,17.74,15.77,15.3,16.6,17.9,15.53,18.74
Gate of the Setting Sun,45.65,58.06,52.94,72,67.74,56.76,61.76,52.5,75,61.76,56.76,52.94
Mogu'shan Palace,33.33,52.94,48,68.18,53.57,48,39.39,39.39,60,60,64.29,48
Scarlet Halls,87.5,92.86,91.67,90,92.31,90.91,84.62,84.62,90,92.31,92.86,90.91
Scarlet Monastery,100,100,100,100,100,100,100,100,100,100,100,100
Scholomance,61.9,64.71,50,73.33,68.75,50,63.16,65,68.75,73.33,64.71,50
Shado-Pan Monastery,45.65,54.29,60,56.52,50,60,56.76,52.5,50,56.52,46.34,60
Siege of Niuzao Temple,34.88,40.54,48.39,60,53.57,53.57,48.39,48.39,53.57,48.39,48.39,48.39
Stormstout Brewery,42.86,61.9,56.76,58.97,60,56.76,41.86,41.86,57.78,51.11,66.67,56.76
Temple of the Jade Serpent,52.17,60.98,68.75,61.11,56.41,62.86,60,60,52.38,52.38,60.98,68.75
Warlords of Draenor,35.87,30.51,41.05,25.32,24.18,40.79,36.22,36.56,24.85,23.91,30.17,41.12
World Boss,27.78,11.11,27.78,5.56,5.56,27.78,26.32,27.78,5.56,5.56,11.11,27.78
Highmaul,63.16,58.97,58.27,55.15,55.63,58.04,64.54,63.09,55.63,55.41,56.63,58.27
Blackrock Foundry,58.53,49.84,43.58,52.08,45.48,44.26,55.67,58.77,46.8,43.96,50.47,44.26
Hellfire Citadel,9.2,9.9,8.24,14.83,8.09,7.25,9.89,9.89,9.23,8.21,9.18,8.24
Auchindoun,30.21,25.44,36.33,20.82,20.51,37.69,31.87,31.87,20.51,20.14,26.37,36.33
Bloodmaul Slag,30.65,32.13,47.24,19.59,19.33,46.44,29.84,30.65,19.02,19.33,32.9,47.24
Grimrail Depot,23.39,15.52,35.71,14.68,13.79,34.48,25,24.17,13.79,14.29,14.52,35.71
Iron Docks,34.13,25.12,47.15,19.59,19.19,46.46,36.27,36.27,19.21,19.21,25.62,47.15
Shadowmoon Burial,36.81,25.69,39.93,21.19,21.55,39.93,38.83,38.83,21.94,20.5,25.18,39.93
Skyreach,43.06,34.31,59.28,23.08,23.71,58.73,39.29,40.7,25.13,23.2,33.17,59.28
Everbloom,34.73,29.32,43.26,21.9,21.6,42.9,36.36,35.8,21.6,21.6,29.18,43.26
Upper Blackrock,37.72,33.1,44.24,25.94,23.81,42.53,38.46,37.91,27.14,25.27,29.67,44.24
Legion,27.06,18.27,13.35,20.65,21.73,13.78,25.15,26.09,21.12,21.25,17.67,13.27
World Boss,55,40,34.15,33.33,37.5,36.59,47.62,51.22,36.59,36.59,36.59,34.15
The Emerald Nightmare,23.97,20.67,19.48,14.9,20.39,18.99,23.97,21.6,20.39,20.95,21.23,21.13
Trial of Valor,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0
The Nighthold,16.67,12.68,11.98,11.97,13.12,11.98,13.78,15.11,13.57,13.57,12.68,12.21
Tomb of Sargeras,2.47,3.16,1.85,1.78,1.81,1.81,2.47,2.47,1.81,1.81,3.7,1.85
"Antorus, the Burning Throne",3.59,1.49,2.13,2.14,2.12,1.6,3.83,5.18,2.65,2.72,1.63,1.63
Invasion Points,60,27.5,16.22,30.77,37.84,35.14,46.67,55.56,11.63,11.63,7.32,5.41
Assault on Violet Hold,50,19.12,16.13,35,35.48,16.13,41.89,50,35.48,35.48,20.97,16.13
Black Rook Hold,46.67,23.91,17.78,37.74,37.78,17.78,43.75,44.68,37.78,37.78,24.44,17.78
Cathedral of Eternal Night,40,16,16,20.69,16,16,40,40,16,16,16,16
Court of Stars,63.16,33.33,19.05,44,47.37,19.05,57.14,52.17,47.37,47.37,36.84,21.05
Darkheart Thicket,65.71,52.63,36.84,58.54,60,36.84,62.16,60.53,60,60,48.57,40
Eye of Azshara,67.57,47.5,37.5,44.9,51.35,37.5,60.98,58.14,51.35,51.35,42.11,40.54
Halls of Valor,63.64,47.73,32.56,50.98,53.49,32.56,58.33,62.22,53.49,53.49,46.51,32.56
Maw of Souls,62.5,42.42,25.81,38.46,38.71,25.81,57.58,57.58,38.71,38.71,45.16,25.81
Neltharion's Lair,60,37.21,27.5,52.08,55,27.5,54.55,57.14,55,55,40,27.5
Return to Karazhan,20,10,10,17.86,16,10,21.15,21.15,16,16,10,10
Seat of the Triumvirate,11.76,47.06,2.94,70,76.47,2.94,11.76,11.76,76.47,76.47,47.06,2.94
The Arcway,57.69,28.57,15.38,36.36,38.46,15.38,51.72,53.57,38.46,38.46,28.57,15.38
Vault of the Wardens,55,26.19,12.2,33.33,32.5,12.2,52.38,51.16,32.5,32.5,27.5,12.5
Battle for Azeroth,5.34,6.1,6.56,6.54,5.38,6.4,5.75,6.5,5.22,5.46,5.98,6.29
World Boss,12.2,10,5.56,8.57,5.26,5.56,5.41,5.41,5.26,5.26,8.11,5.56
Uldir,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Dazar'alor,4.68,5.04,7.39,5.68,5.37,7.26,5.37,6.8,5.28,5.2,5.2,5.75
Crucible of Storms,0,0,0,0,0,0,0,0,0,0,0,0
The Eternal Palace,0,0,0,0,0,0,0,0,0,0,0,0
"Ny'alotha, the Waking City",4.78,4.76,5.13,1.05,0.99,5.13,5.8,5.58,0.95,0.91,5.12,5.13
Mythic +,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,8.33,11.11,13.89,21.62,16.67,12.82,11.11,12.5,17.95,15.56,9.8,13.89
Freehold,9.3,17.5,21.62,21.88,17.65,21.62,10.81,13.16,17.65,15,20.59,21.62
Kings' Rest,9.76,10.81,0,6.9,5.71,0,5.71,5.71,6.06,10.81,6.45,0
Operation: Mechagon,10.26,16.18,15,21.31,15.62,14.52,12.12,16.42,15.62,14.71,16.18,15
Shrine of the Storm,11.11,12.12,12.77,17.86,13.33,13.64,13.33,16.13,13.33,13.33,13.33,12.77
Siege of Boralus,14.81,26.09,19.05,8.7,8,19.05,14.81,14.81,8,8.7,26.09,19.05
Temple of Sethraliss,10.87,5.41,5.88,7.14,6.45,6.45,13.51,12.5,5.41,5.88,6.45,5.88
The MOTHERLODE!!,8.57,13.79,6.9,18.52,12.5,6.25,10,12.12,13.79,12.5,11.43,6.9
The Underrot,13.04,10,9.68,18.75,15,8.82,13.51,14.63,13.51,16.22,9.3,9.68
Tol Dagor,17.78,16.67,23.33,26.47,21.43,21.21,21.21,21.62,20.51,23.08,16.67,23.33
Waycrest Manor,10.71,13.21,21.95,12.5,11.32,19.15,10.64,13.33,10,11.32,13.21,21.95
Shadowlands,18.03,12.61,10.91,1.06,0.24,9.93,18.31,17.92,0.96,0.95,9.28,10.91
World Boss,0,0,0,0,0,0,0,0,0,0,0,0
Castle Nathria,5.59,8.07,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
De Other Side,30.77,16.67,40,12.5,0,30,40,40,9.09,10,10,40
Hall of Atonement,33.33,12.5,0,0,0,0,37.5,37.5,0,0,11.11,0
Mists of Tirna Scithe,13.04,22.5,17.65,0,0,16.22,16.22,15,0,0,19.57,17.65
The Necrotic Wake,16.22,19.35,12,0,0,12,21.43,19.35,0,0,21.43,12
Plaguefall,23.68,8.57,28.12,0,0,28.12,28.12,28.12,0,0,9.38,28.12
Sanguine Depths,24.32,17.65,19.35,0,0,19.35,26.47,26.47,0,0,17.65,19.35
Spires of Ascension,36.36,18.18,25,0,0,25,44.44,44.44,0,0,22.22,25
Theater of Pain,28.57,8.33,0,0,0,0,33.33,30.77,0,0,7.69,0
