,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Mogu'shan Vaults,31.61,31.88,35.71,24.3,23.01,34.78,28.91,27.61,23.01,22.41,24.59,30.77
Heart of Fear,46.09,50,38.26,37.78,39.22,38.26,38.18,38.18,34.31,40,42.59,34.58
Terrace of Endless Spring,61.67,61.82,54.13,66.2,61.18,54.37,58.24,57.14,61.45,61.36,55.29,50.5
Throne of Thunder,11.51,14.9,12.5,17.93,14.91,11.48,12.85,12.4,16.58,14.8,14,12.75
Siege of Orgrimmar,14.48,17.09,18.56,21.69,18.18,18.39,16.27,16.35,17.86,17.7,16.67,18.56
Gate of the Setting Sun,54.29,60,62.96,71.43,68,65.52,70.37,61.29,73.91,62.96,58.62,62.96
Mogu'shan Palace,36.67,53.85,50,66.67,54.55,50,42.31,42.31,60,60,63.64,50
Scarlet Halls,88.24,86.67,84.62,81.82,85.71,83.33,85.71,85.71,81.82,85.71,86.67,83.33
Scarlet Monastery,100,100,100,100,100,100,100,100,100,100,100,100
Shado-Pan Monastery,48.57,55.56,58.82,57.89,52.38,58.82,58.62,54.84,52.38,57.89,48.39,58.82
Siege of Niuzao Temple,41.94,40.74,47.83,57.89,52.38,52.38,56.52,56.52,52.38,47.83,47.83,47.83
Stormstout Brewery,47.5,62.86,58.06,60.61,60.61,58.06,47.22,47.22,59.46,54.05,66.67,58.06
Temple of the Jade Serpent,54.29,61.29,68,60.71,56.67,62.96,61.29,61.29,53.12,53.12,61.29,68
Warlords of Draenor,38.9,34.54,35.55,35.26,32.12,34.99,39.47,40.37,32.96,30.98,34.23,35.73
World Bosses,27.78,11.11,27.78,11.11,11.11,27.78,26.32,27.78,11.11,11.11,11.11,27.78
Highmaul,63.16,58.97,58.27,55.15,55.63,58.04,64.54,63.09,55.63,55.41,56.63,58.27
Blackrock Foundry,58.36,49.69,43.43,51.87,45.33,44.11,55.48,58.58,46.64,43.81,50.31,44.11
Hellfire Citadel,9.2,9.9,8.24,14.83,8.09,7.25,9.89,9.89,9.23,8.21,9.18,8.24
Common Dungeon Drop,45,35.42,49.58,31.12,31.25,49.58,45,45,31.25,31.25,35.42,49.58
Auchindoun,6.25,7.14,8.33,12.5,10,12.5,10,10,10,8.33,10,8.33
Bloodmaul Slag Mines,26.67,22.73,14.29,11.11,22.73,11.11,19.23,26.67,19.23,9.09,19.23,14.29
Grimrail Depot,0,0,0,0,0,0,0,0,0,0,0,0
Iron Docks,21.43,20.83,18.75,31.25,25,20,31.25,31.25,25,25,25,18.75
Shadowmoon Burial Grounds,18.75,18.75,12.5,18.75,21.43,12.5,30,30,25,12.5,12.5,12.5
Skyreach,68.97,68,64.71,58.82,64.71,61.54,55.56,61.9,66.67,58.82,66.67,64.71
The Everbloom,10.34,9.52,11.76,15.38,14.29,14.29,17.65,14.29,14.29,14.29,12,11.76
Upper Blackrock Spire,67.35,60.98,58.62,68,63.64,42.86,63.64,67.57,72.41,63.64,63.64,58.62
Legion,27.93,18.93,19.03,21.52,22.22,19.49,25.62,26.63,21.4,21.54,17.97,18.63
World Bosses,55,40,34.15,33.33,37.5,36.59,47.62,51.22,36.59,36.59,36.59,34.15
The Emerald Nightmare,23.97,20.67,21.43,14.9,20.39,20.89,23.97,21.6,20.39,20.95,21.23,21.43
Trial of Valor,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0
The Nighthold,16.67,12.68,13.36,11.97,13.12,13.36,13.78,15.11,13.57,13.57,12.68,13.15
Tomb of Sargeras,2.47,3.16,1.85,1.78,1.81,1.81,2.47,2.47,1.81,1.81,3.7,1.85
"Antorus, the Burning Throne",3.59,1.49,2.13,2.14,2.12,1.6,3.83,5.18,2.65,2.72,1.63,1.63
Invasion Points,65.31,36.36,17.07,34.88,41.46,36.59,48.98,59.18,10.64,10.64,6.67,4.88
Assault on Violet Hold,54.84,23.53,40.32,41.89,40.32,40.32,45.95,54.84,40.32,40.32,25.81,40.32
Black Rook Hold,46.67,23.91,31.11,40,37.78,31.11,43.75,44.68,37.78,37.78,24.44,31.11
Cathedral of Eternal Night,38.46,15.38,15.38,21.43,15.38,15.38,38.46,38.46,15.38,15.38,15.38,15.38
Court of Stars,63.16,33.33,28.57,47.83,47.37,28.57,57.14,52.17,47.37,47.37,36.84,28.57
Darkheart Thicket,65.71,52.63,57.89,63.16,60,57.89,62.16,60.53,60,60,48.57,57.89
Eye of Azshara,67.57,47.5,57.5,47.83,51.35,57.5,60.98,58.14,51.35,51.35,42.11,57.5
Halls of Valor,68.18,52.27,55.81,58.33,58.14,55.81,62.5,66.67,58.14,58.14,51.16,55.81
Maw of Souls,63.64,43.75,54.84,41.67,38.71,54.84,57.58,57.58,38.71,38.71,45.16,54.84
Neltharion's Lair,60,37.21,40,55.56,55,40,54.55,57.14,55,55,40,40
Return to Karazhan,25.45,10,10,18.18,16,10,21.15,21.15,16,16,10,10
Seat of the Triumvirate,11.76,47.06,2.94,73.68,76.47,2.94,11.76,11.76,76.47,76.47,47.06,2.94
The Arcway,57.69,28.57,30.77,38.71,38.46,30.77,51.72,53.57,38.46,38.46,28.57,30.77
Vault of the Wardens,55,26.19,26.83,35.56,32.5,26.83,52.38,51.16,32.5,32.5,27.5,26.83
Battle for Azeroth,5.01,5.78,6.2,6.17,5.06,6.05,5.35,6.1,4.83,5.08,5.6,6.12
World Bosses,12.2,12.5,8.33,11.43,7.89,8.33,5.41,5.41,5.26,5.26,8.11,5.56
Uldir,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Dazar'alor,4.36,4.71,7.05,5.31,5.02,6.93,5.02,6.48,4.94,4.86,4.86,7.05
Crucible of Storms,0,0,0,0,0,0,0,0,0,0,0,0
The Eternal Palace,0,0,0,0,0,0,0,0,0,0,0,0
"Ny'alotha, the Waking City",4.43,4.38,4.65,0.95,0.9,4.65,5.29,5.11,0.87,0.84,4.68,4.65
Mythic+,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,10.42,13.33,16.67,24.32,19.05,15.38,13.89,15,20.51,17.78,11.76,16.67
Freehold,9.3,17.5,21.62,21.88,17.65,21.62,10.81,13.16,17.65,15,20.59,21.62
Kings' Rest,9.76,10.81,0,6.9,5.71,0,5.71,5.71,6.06,10.81,6.45,0
Operation: Mechagon,5.26,10.61,8.62,15.25,9.68,8.33,6.25,10.77,9.68,9.09,10.61,8.33
Shrine of the Storm,11.11,12.12,12.77,17.86,13.33,13.64,13.33,16.13,13.33,13.33,13.33,12.77
Siege of Boralus,14.81,26.09,19.05,8.7,8,19.05,14.81,14.81,8,8.7,26.09,19.05
Temple of Sethraliss,10.87,5.41,5.88,7.14,6.45,6.45,13.51,12.5,5.41,5.88,6.45,5.88
The MOTHERLODE!!,8.57,13.79,6.9,18.52,12.5,6.25,10,12.12,13.79,12.5,11.43,6.9
The Underrot,13.04,10,9.68,18.75,15,8.82,13.51,14.63,13.51,16.22,9.3,9.68
Tol Dagor,17.78,16.67,23.33,26.47,21.43,21.21,21.21,21.62,20.51,23.08,16.67,23.33
Waycrest Manor,10.71,13.21,21.95,12.5,11.32,19.15,10.64,13.33,10,11.32,13.21,20.45
Shadowlands,16.71,12.15,11.64,9.26,8.44,11.17,16.31,15.71,8.69,8.74,10.41,11.63
World Bosses,33.33,11.11,0,0,0,0,22.22,22.22,0,0,0,0
Castle Nathria,6,7.29,0.5,0.52,0.5,0.5,1.56,1.51,0.5,0.52,0.5,0.5
Sanctum of Domination,5.15,1.44,1.73,1.82,1.67,1.76,3.7,3.53,1.62,1.62,1.59,1.73
Mythic+,0,0,0,0,0,0,0,0,0,0,0,0
De Other Side,46.15,31.58,48.39,48,40,38.71,50,50,44.12,40,29.03,48.39
Halls of Atonement,42.86,25,24,57.14,42.86,22.22,48,48,44.44,50,21.43,25
Mists of Tirna Scithe,32.61,36.59,34.29,19.35,15.79,32.43,32.43,30,16.22,23.68,32.61,35.29
The Necrotic Wake,31.58,19.35,11.54,13.64,12,12,41.38,38.71,12,9.68,21.43,11.54
Plaguefall,30,15.79,26.47,20.69,16.22,25.71,34.29,35.29,17.65,15.79,17.65,26.47
Sanguine Depths,32.43,35.29,38.71,8.82,9.38,37.5,35.29,34.29,8.33,8.11,34.29,38.71
Spires of Ascension,35.29,26.47,25,25,21.43,25,44.44,42.86,19.35,21.43,32.14,24
"Tazavesh, the Veiled Market",20.83,17.39,18.6,12.2,11.9,19.51,24.39,23.81,11.63,11.36,18.18,18.6
Theater of Pain,27.91,16.67,33.33,21.43,17.65,29.03,32.43,30,18.18,17.65,15.38,32.14
