,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
Scarlet Halls,81.25,85.71,50,90,92.31,54.55,76.92,76.92,90,92.31,85.71,54.55
Scarlet Monastery,82.35,84.62,50,75,78.57,50,80,80,78.57,75,83.33,50
Scholomance,28.57,47.06,18.75,60,56.25,18.75,31.58,30,56.25,60,41.18,18.75
Shado-Pan Monastery,45.65,45.71,15,56.52,50,15,56.76,52.5,50,56.52,39.02,15
Siege of Niuzao Temple,34.88,40.54,19.35,60,53.57,21.43,48.39,48.39,53.57,48.39,48.39,19.35
Stormstout Brewery,42.86,61.9,43.24,58.97,60,43.24,41.86,41.86,57.78,51.11,66.67,43.24
Temple of the Jade Serpent,45.65,60.98,50,61.11,56.41,45.71,52.5,52.5,52.38,52.38,60.98,50
Warlords of Draenor,35.69,30.32,39.84,25.88,24.63,39.65,35.95,36.35,25.3,24.32,30.05,39.93
World Boss,27.78,11.11,27.78,5.56,5.56,27.78,26.32,27.78,5.56,5.56,11.11,27.78
Highmaul,63.16,58.33,58.27,55.15,55.63,58.04,64.54,63.09,55.63,55.41,56.02,58.27
Blackrock Foundry,58.53,49.22,43.58,52.08,45.48,44.26,55.67,58.77,46.8,43.96,49.84,44.26
Hellfire Citadel,9.2,9.9,8.24,14.83,8.09,7.25,9.89,9.89,9.23,8.21,9.18,8.24
Auchindoun,29.74,25,35.71,20.74,20.45,37.04,31.36,31.36,20.45,20.09,25.91,35.71
Bloodmaul Slag,30,31.3,46.15,19.25,19.01,45.38,29.27,30,18.7,19.01,32,46.15
Grimrail Depot,22.11,14.61,33.72,14.29,13.48,32.58,23.6,22.83,13.48,13.95,13.68,33.72
Iron Docks,33.93,25,46.15,19.75,19.38,45.62,35.9,35.9,19.51,19.51,25.61,46.15
Shadowmoon Burial,36.05,25.32,39.11,21.1,21.4,39.11,38.01,38.01,21.78,20.44,24.89,39.11
Skyreach,42.01,33.33,57.96,22.78,23.57,57.52,38.36,39.75,24.84,22.93,32.3,57.96
Everbloom,34.2,28.74,42.41,21.65,21.46,42.15,35.8,35.25,21.46,21.46,28.68,42.41
Upper Blackrock,36.82,32.24,42.93,25.62,23.56,41.21,37.5,36.97,26.83,25,28.85,42.93
Legion,25.71,17.56,13.28,19.81,20.72,13.7,23.85,24.77,20.11,20.24,16.87,13.2
World Boss,55,37.5,34.15,33.33,37.5,36.59,47.62,51.22,36.59,36.59,34.15,34.15
The Emerald Nightmare,23.97,20.67,19.48,14.9,20.39,18.99,23.97,21.6,20.39,20.95,21.23,21.13
Trial of Valor,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0
The Nighthold,16.67,12.68,11.98,11.97,13.12,11.98,13.78,15.11,13.57,13.57,12.68,12.21
Tomb of Sargeras,1.85,1.27,1.23,1.18,1.2,1.2,1.85,1.85,1.2,1.2,1.23,1.23
"Antorus, the Burning Throne",3.59,1.49,2.13,2.14,2.12,1.6,3.83,5.18,2.65,2.72,1.63,1.63
Invasion Points,60,27.5,16.22,30.77,37.84,35.14,46.67,55.56,11.63,11.63,7.32,5.41
Assault on Violet Hold,43.55,19.12,16.13,35,35.48,16.13,36.49,43.55,35.48,35.48,20.97,16.13
Black Rook Hold,46.67,23.91,17.78,37.74,37.78,17.78,43.75,44.68,37.78,37.78,24.44,17.78
Cathedral of Eternal Night,40,16,16,20.69,16,16,40,40,16,16,16,16
Court of Stars,57.89,33.33,19.05,44,47.37,19.05,52.38,47.83,47.37,47.37,36.84,21.05
Darkheart Thicket,65.71,52.63,36.84,51.22,51.43,36.84,62.16,60.53,51.43,51.43,48.57,40
Eye of Azshara,62.16,47.5,37.5,38.78,43.24,37.5,56.1,53.49,43.24,43.24,42.11,40.54
Halls of Valor,63.64,47.73,32.56,43.14,44.19,32.56,58.33,62.22,44.19,44.19,46.51,32.56
Maw of Souls,56.25,42.42,25.81,38.46,38.71,25.81,51.52,51.52,38.71,38.71,45.16,25.81
Neltharion's Lair,55,37.21,27.5,45.83,47.5,27.5,50,52.38,47.5,47.5,40,27.5
Return to Karazhan,12.73,10,10,17.86,16,10,13.46,13.46,16,16,10,10
Seat of the Triumvirate,11.76,29.41,2.94,70,76.47,2.94,11.76,11.76,76.47,76.47,29.41,2.94
The Arcway,53.85,28.57,15.38,36.36,38.46,15.38,48.28,50,38.46,38.46,28.57,15.38
Vault of the Wardens,50,26.19,12.2,33.33,32.5,12.2,47.62,46.51,32.5,32.5,27.5,12.5
Battle for Azeroth,5.34,6.1,6.56,6.54,5.38,6.4,5.75,6.5,5.22,5.48,5.98,6.29
World Boss,12.2,10,5.56,8.57,5.26,5.56,5.41,5.41,5.26,5.26,8.11,5.56
Uldir,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Dazar'alor,4.68,5.04,7.39,5.68,5.37,7.26,5.37,6.8,5.28,5.2,5.2,5.75
Crucible of Storms,0,0,0,0,0,0,0,0,0,0,0,0
The Eternal Palace,0,0,0,0,0,0,0,0,0,0,0,0
"Ny'alotha, the Waking City",4.78,4.76,5.13,1.05,0.99,5.13,5.8,5.58,0.95,0.91,5.12,5.13
Mythic +,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,8.33,11.11,13.89,21.62,16.67,12.82,11.11,12.5,17.95,15.56,9.8,13.89
Freehold,9.3,17.5,21.62,21.88,17.65,21.62,10.81,13.16,17.65,15,20.59,21.62
Kings' Rest,9.76,10.81,0,6.9,5.71,0,5.71,5.71,6.06,10.81,6.45,0
Operation: Mechagon,10.26,16.18,15,21.31,15.62,14.52,12.12,16.42,15.62,15.15,16.18,15
Shrine of the Storm,11.11,12.12,12.77,17.86,13.33,13.64,13.33,16.13,13.33,13.33,13.33,12.77
Siege of Boralus,14.81,26.09,19.05,8.7,8,19.05,14.81,14.81,8,8.7,26.09,19.05
Temple of Sethraliss,10.87,5.41,5.88,7.14,6.45,6.45,13.51,12.5,5.41,5.88,6.45,5.88
The MOTHERLODE!!,8.57,13.79,6.9,18.52,12.5,6.25,10,12.12,13.79,12.5,11.43,6.9
The Underrot,13.04,10,9.68,18.75,15,8.82,13.51,14.63,13.51,16.22,9.3,9.68
Tol Dagor,17.78,16.67,23.33,26.47,21.43,21.21,21.21,21.62,20.51,23.08,16.67,23.33
Waycrest Manor,10.71,13.21,21.95,12.5,11.32,19.15,10.64,13.33,10,12,13.21,21.95
Shadowlands,10.34,2.76,3.83,0.8,0,2.99,11.62,11.37,0.72,0.72,2.1,3.83
World Boss,0,0,0,0,0,0,0,0,0,0,0,0
Castle Nathria,0,0,0,0,0,0,0,0,0,0,0,0
De Other Side,30.77,8.33,10,12.5,0,0,40,40,9.09,10,0,10
Hall of Atonement,33.33,0,0,0,0,0,37.5,37.5,0,0,0,0
Mists of Tirna Scithe,13.64,7.89,0,0,0,0,17.14,15.79,0,0,6.82,0
The Necrotic Wake,0,0,12,0,0,12,0,0,0,0,0,12
Plaguefall,7.89,0,9.38,0,0,9.38,9.38,9.38,0,0,0,9.38
Sanguine Depths,8.11,8.82,0,0,0,0,8.82,8.82,0,0,8.82,0
Spires of Ascension,27.27,9.09,25,0,0,25,33.33,33.33,0,0,11.11,25
Theater of Pain,14.29,0,0,0,0,0,16.67,15.38,0,0,0,0
