,Warrior,Hunter,Mage,DemonHunter,Druid,Priest,DeathKnight,Paladin,Monk,Rogue,Shaman,Warlock
The Stockade,50,100,100,100,100,100,40,33.33,100,100,88.89,100
The Temple of Atal'hakkar,58.33,62.5,73.68,91.67,71.43,66.67,61.11,57.89,82.35,82.35,47.37,73.68
Uldaman,48.53,33.9,38.33,36.59,42,40.68,41.67,44.9,40,42.86,39.62,37.93
Wailing Caverns,100,100,100,100,100,100,100,100,100,100,100,100
Zul'Farrak,92.86,82.61,70,76.92,77.78,66.67,89.47,90,80,81.25,83.33,70
Burning Crusade,40.43,44.86,34.29,38.91,32.23,30.08,39.67,35.89,38.6,35.37,36.11,34.41
World Boss,30,33.33,37.5,40,50,42.86,28.57,28.57,50,28.57,42.86,37.5
Karazhan,31.65,39.71,32,38.46,29.58,30,35.59,32,36.21,33.33,28.95,28.57
Gruul's Lair,50,63.64,33.33,50,16.67,16.67,71.43,25,50,30,25,27.27
Magtheridon's Lair,54.55,75,50,75,33.33,40,66.67,38.46,66.67,50,50,44.44
Serpentshire Cavern,13.16,23.53,6.67,11.76,13.16,5.56,13.64,7.5,10,7.41,5,6.9
The Eye,22.22,28.95,19.35,31.58,17.65,16.67,30,18.75,27.27,23.08,16.22,20.69
The Battle for Mount Hyjal,11.76,6.98,8.11,13.04,5.66,6.67,8,7.55,11.11,8.11,5.26,8.11
Black Temple,27.27,43.56,23.26,30,18.75,18.95,24.71,20,22.78,26.37,25.24,24.39
Sunwell Plateau,13.51,26.25,13.46,20,6.9,7.69,15.91,9.46,16.67,12,15.66,12.96
Auchenai Crypts,25,30.43,36.36,25,23.81,36.36,27.78,31.58,20,22.73,30.43,33.33
Hellfire Ramparts,100,60,81.82,73.91,82.86,81.82,100,100,80.65,79.31,58.97,81.82
Magisters' Terrace,28.75,44.93,37.5,30.91,29.82,33.33,26.32,28.21,31.75,26.98,38.33,38.33
Mana-Tombs,66.13,58.18,61.36,82.05,88.37,55.26,70.27,65.22,88.37,76.09,65.31,60.47
Old Hillsbrad Foothills,24.32,40.54,30,19.35,21.62,25,20,19.44,17.14,20.51,36.59,31.03
Sethekk Halls,52,47.83,31.82,33.33,38.1,29.17,47.83,52.38,40,26.32,40.91,31.82
Shadow Labyrinth,67.74,75,66.67,71.43,70,62.5,72.73,69.23,70,63.64,66.67,71.43
The Arcatraz,35.71,48.57,23.08,42.31,40,23.08,17.24,20,42.31,48.57,40,22.86
The Black Morass,36.84,61.54,34.38,27.59,27.59,30.77,27.59,27.59,31.43,34.38,65.38,34.38
The Blood Furance,93.75,72.73,36.36,35.71,33.33,36.36,92.86,92.86,42.86,50,66.67,36.36
The Botanica,78.95,87.5,50,60,64.29,47.06,86.96,83.33,61.54,66.67,80,56.25
The Mechanar,64.29,61.54,52.17,46.15,65,55,64.29,62.07,59.26,51.85,68.42,60
The Shattered Halls,53.49,86.11,55.56,72,61.76,51.28,35.48,37.5,64.29,70.59,71.79,57.58
The Slave Pen,39.58,24.49,27.08,40.54,27.91,20.83,48.72,48.72,34.88,28.85,19.57,27.08
The Steamvault,30,50,23.81,33.33,28.57,23.81,23.53,33.33,28.57,37.5,50,22.22
The Underbog,35.14,21.21,24.14,25.93,21.21,24.14,40.74,44.83,24.14,22.58,25.71,24.14
Wrath of the Lich King,42.02,43.66,41.78,49.68,41.21,39.96,43.73,42.74,44.92,42.51,40.72,42.2
Vault of Archavon,15,11.27,10.4,20.75,13.95,9.32,12,14.53,11.21,9.79,7.91,8.87
Naxxramas,42.72,46.88,44.26,55.25,48.35,42.22,46.44,46.79,49.83,47.54,41.69,44.26
The Obsidian Sanctum,78.05,81.58,79.41,82.86,76.19,75,74.36,70.73,80.56,78.38,71.43,79.41
The Eye of Eternity,25,33.33,26.09,35,31.82,26.09,27.27,26.09,30.43,33.33,33.33,26.09
Ulduar,28.95,28.19,25.39,34.44,25.82,24.17,30.85,30.05,29.69,26.32,25.56,26.87
Trial of the Crusader,42.11,42.5,34.78,41.38,41.04,36.43,41.45,41.88,43.18,40.71,48,34.33
Icecrown Citadel,28.19,33.49,36.36,41.95,31.76,32.92,27.49,26.08,38.53,35.22,28.13,36.77
The Ruby Sanctum,30,50,50,37.5,37.5,50,30,30,37.5,37.5,50,50
Ahn'kahet: The Old Kingdom,77.78,75.47,69.39,83.78,79.07,69.39,81.13,82.69,85,75.56,77.08,69.39
Azjol-Nerub,69.44,81.48,66.67,75,61.29,62.5,83.33,78.12,67.74,67.74,71.43,66.67
Drak'Tharon Keep,73.91,73.68,68.75,58.82,52.63,68.75,76.19,77.27,57.89,61.11,75,68.75
Gundrak,81.25,86.79,86,81.13,83.05,86.79,89.09,89.09,83.05,77.97,92.45,86
Halls of Lightning,76.27,69.09,60.34,76.19,76.6,62.5,78.85,82,72.34,73.91,74.51,60.34
Halls of Reflection,20,18.37,21.43,20.93,21.43,22.5,23.4,22.45,18.37,17.31,20.93,21.43
Halls of Stone,77.5,85.29,89.29,84,78.12,89.29,77.14,77.14,84,83.33,85.29,89.29
Pit of Saron,41.27,31.67,32.61,35.71,37.5,34.09,37.21,41.3,36.36,38.46,33.9,32.61
The Culling of Stratholme,66.04,56.1,62.5,61.76,61.54,64.71,76.19,73.91,57.5,58.54,62.79,62.5
The Forge of Souls,15.22,20.59,22.58,29.17,22.58,22.58,19.44,19.44,23.33,22.58,20.59,22.58
The Nexus,78.12,68.52,76.09,82.98,79.25,71.43,80,81.03,78,79.25,66.67,76.09
The Oculus,58.93,70.83,66,78.38,75.61,68.75,62,64.58,67.44,79.49,73.91,66
The Violet Hold,72.13,81.25,77.5,74.29,68.29,73.81,74.51,76.36,65.12,66.67,86,77.5
Trial of Champion,23.21,29.07,24.39,23.26,21.74,24.39,24.53,24.53,21.74,20.83,29.27,24.39
Utgarde Keep,70.59,76.47,70,66.67,70.97,75,72,75,68.97,66.67,80,70
Utgarde Pinnacle,78.48,78.33,64.29,75.93,75.93,63.83,84.85,83.58,71.93,74.6,80.39,64.29
Cataclysm,28.96,33.4,27.33,36.32,28.56,24.87,29.29,27.4,31.61,30.07,28.89,27.72
World Boss,47.5,57.58,42.5,62.96,62.07,42.5,54.29,48.72,64.29,60.71,50,42.5
Baradin Hold,0,0,0,0,6.98,0,0,0,0,0,0,0
Blackwing Descent,10.78,12.82,13.33,15.15,15.66,12.5,12.36,14.43,14.29,12.35,11.24,13.33
The Bastion of Twilight,20.78,20,21.43,28.26,24.59,18.97,20.9,20,25.49,22.41,17.91,21.43
Throne of the Four Winds,33.33,36.36,37.5,42.86,37.5,34.88,29.82,30.3,42.86,34.09,27.59,37.5
Firelands,8.37,8.33,6.75,13.48,7.61,6.55,8.54,7.94,11.45,10.56,7.28,6.96
Dragon Soul,21.12,22.8,26.8,39.83,26.7,23.7,22.95,20.59,33.1,28.99,20.39,28.28
Blackrock Caverns,55.56,65.52,28,40.91,32.14,25.93,61.54,60,36,37.93,57.58,28
Deadmines,60,66.67,61.9,63.16,52.63,52.63,60.87,60.87,57.14,61.9,55,61.9
End Time,6.38,25.93,4.35,5.88,4.76,4,2.7,2.56,4.76,12,18.52,4.35
Halls of Origination,92.68,100,81.82,71.43,74.42,75,89.29,90,67.65,70.27,93.62,81.82
Lost City of the Tol'vir,36.84,68,40.74,66.67,62.5,40.74,41.18,38.89,55.56,58.82,62.96,40.74
The Vortex Pinnacle,6.25,17.65,7.69,9.09,7.69,8.33,10,9.09,8.33,7.14,18.75,7.69
Grim Batol,65.85,82.76,67.86,83.33,59.38,50,77.14,71.05,69.7,60.61,54.84,67.86
Hour of Twilight,83.33,93.33,60,91.67,85.71,60,87.5,87.5,92.31,84.62,93.33,60
Shadowfang Keep,42.86,63.89,33.33,37.93,37.84,31.43,36.36,36.36,37.84,29.73,65.71,33.33
The Stonecore,83.72,89.19,75.86,96.15,96.15,75.86,80.56,80.56,96.15,96.97,87.88,75.86
Throne of the Tides,55.26,61.11,47.83,41.38,41.38,47.83,58.82,60,37.5,41.38,62.16,47.83
Well of Eternity,23.53,35.71,27.27,23.08,18.75,23.08,20,20,18.75,25,25,27.27
Zul'Aman,27.5,20.59,18.75,18.18,17.14,18.18,26.32,26.32,17.14,18.92,17.65,18.75
Zul'Gurub,34.09,13.16,14.29,12.9,17.65,15.15,23.53,22.22,14.71,11.11,16.22,14.29
Mists of Pandaria,25.29,29.73,28.53,31.81,26.1,27.11,26.2,24.81,26.17,27.83,25.47,27.53
World Boss,27.16,27.32,29.6,32.37,20.97,27.85,27.63,25.94,22.22,26.92,21.71,29.6
Mogu'shan Vaults,31.61,30.43,35.71,24.3,23.01,34.78,28.91,27.61,23.01,22.41,22.95,30.77
Heart of Fear,45.99,50,38.26,37.78,40.31,36.29,36.97,35.94,29.17,39.05,38.89,34.58
Terrace of Endless Springs,59.52,61.82,54.13,64.79,52.43,52.29,56.7,52.43,52.63,60.23,50.52,50.5
Throne of Thunder,11.2,13.74,12.47,15.45,12.31,11.06,12.84,12.05,14.25,12.86,12.45,12.71
Siege of Orgrimmar,14.09,17.24,18.74,21.75,16.16,17.74,15.77,15.3,16.6,17.9,15.53,18.74
Gate of the Setting Sun,45.65,58.06,52.94,72,67.74,56.76,61.76,52.5,75,61.76,56.76,52.94
Mogu'shan Palace,33.33,52.94,36,68.18,53.57,36,39.39,39.39,60,60,64.29,36
Scarlet Halls,81.25,85.71,83.33,90,92.31,81.82,76.92,76.92,90,92.31,85.71,81.82
Scarlet Monastery,94.12,100,92.86,100,100,92.86,93.33,93.33,100,100,100,92.86
Scholomance,28.57,47.06,31.25,60,56.25,31.25,31.58,30,56.25,60,41.18,31.25
Shado-Pan Monastery,45.65,45.71,55,56.52,50,55,56.76,52.5,50,56.52,39.02,55
Siege of Niuzao Temple,34.88,40.54,38.71,60,53.57,42.86,48.39,48.39,53.57,48.39,48.39,38.71
Stormstout Brewery,42.86,61.9,56.76,58.97,60,56.76,41.86,41.86,57.78,51.11,66.67,56.76
Temple of the Jade Serpent,45.65,60.98,68.75,61.11,56.41,62.86,52.5,52.5,52.38,52.38,60.98,68.75
Warlords of Draenor,35.69,30.32,39.84,25.88,24.63,39.65,35.95,36.35,25.3,24.32,30.05,39.93
World Boss,27.78,11.11,27.78,5.56,5.56,27.78,26.32,27.78,5.56,5.56,11.11,27.78
Highmaul,63.16,58.33,58.27,55.15,55.63,58.04,64.54,63.09,55.63,55.41,56.02,58.27
Blackrock Foundry,58.53,49.22,43.58,52.08,45.48,44.26,55.67,58.77,46.8,43.96,49.84,44.26
Hellfire Citadel,9.2,9.9,8.24,14.83,8.09,7.25,9.89,9.89,9.23,8.21,9.18,8.24
Auchindoun,29.74,25,35.71,20.74,20.45,37.04,31.36,31.36,20.45,20.09,25.91,35.71
Bloodmaul Slag,30,31.3,46.15,19.25,19.01,45.38,29.27,30,18.7,19.01,32,46.15
Grimrail Depot,22.11,14.61,33.72,14.29,13.48,32.58,23.6,22.83,13.48,13.95,13.68,33.72
Iron Docks,33.93,25,46.15,19.75,19.38,45.62,35.9,35.9,19.51,19.51,25.61,46.15
Shadowmoon Burial,36.05,25.32,39.11,21.1,21.4,39.11,38.01,38.01,21.78,20.44,24.89,39.11
Skyreach,42.01,33.33,57.96,22.78,23.57,57.52,38.36,39.75,24.84,22.93,32.3,57.96
Everbloom,34.2,28.74,42.41,21.65,21.46,42.15,35.8,35.25,21.46,21.46,28.68,42.41
Upper Blackrock,36.82,32.24,42.93,25.62,23.56,41.21,37.5,36.97,26.83,25,28.85,42.93
Legion,26.99,17.78,13.28,20.59,21.65,13.7,25.09,26.02,21.05,21.18,17.09,13.2
World Boss,55,37.5,34.15,33.33,37.5,36.59,47.62,51.22,36.59,36.59,34.15,34.15
The Emerald Nightmare,23.97,20.67,19.48,14.9,20.39,18.99,23.97,21.6,20.39,20.95,21.23,21.13
Trial of Valor,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0
The Nighthold,16.67,12.68,11.98,11.97,13.12,11.98,13.78,15.11,13.57,13.57,12.68,12.21
Tomb of Sargeras,1.85,1.27,1.23,1.18,1.2,1.2,1.85,1.85,1.2,1.2,1.23,1.23
"Antorus, the Burning Throne",3.59,1.49,2.13,2.14,2.12,1.6,3.83,5.18,2.65,2.72,1.63,1.63
Invasion Points,60,27.5,16.22,30.77,37.84,35.14,46.67,55.56,11.63,11.63,7.32,5.41
Assault on Violet Hold,50,19.12,16.13,35,35.48,16.13,41.89,50,35.48,35.48,20.97,16.13
Black Rook Hold,46.67,23.91,17.78,37.74,37.78,17.78,43.75,44.68,37.78,37.78,24.44,17.78
Cathedral of Eternal Night,40,16,16,20.69,16,16,40,40,16,16,16,16
Court of Stars,63.16,33.33,19.05,44,47.37,19.05,57.14,52.17,47.37,47.37,36.84,21.05
Darkheart Thicket,65.71,52.63,36.84,58.54,60,36.84,62.16,60.53,60,60,48.57,40
Eye of Azshara,67.57,47.5,37.5,44.9,51.35,37.5,60.98,58.14,51.35,51.35,42.11,40.54
Halls of Valor,63.64,47.73,32.56,50.98,53.49,32.56,58.33,62.22,53.49,53.49,46.51,32.56
Maw of Souls,62.5,42.42,25.81,38.46,38.71,25.81,57.58,57.58,38.71,38.71,45.16,25.81
Neltharion's Lair,60,37.21,27.5,52.08,55,27.5,54.55,57.14,55,55,40,27.5
Return to Karazhan,20,10,10,17.86,16,10,21.15,21.15,16,16,10,10
Seat of the Triumvirate,11.76,38.24,2.94,70,76.47,2.94,11.76,11.76,76.47,76.47,38.24,2.94
The Arcway,57.69,28.57,15.38,36.36,38.46,15.38,51.72,53.57,38.46,38.46,28.57,15.38
Vault of the Wardens,55,26.19,12.2,33.33,32.5,12.2,52.38,51.16,32.5,32.5,27.5,12.5
Battle for Azeroth,5.34,6.1,6.64,6.54,5.38,6.47,5.75,6.5,5.22,5.48,5.98,6.36
World Boss,12.2,10,5.56,8.57,5.26,5.56,5.41,5.41,5.26,5.26,8.11,5.56
Uldir,0,0,0,0,0,0,0,0,0,0,0,0
Battle of Dazar'alor,4.68,5.04,7.39,5.68,5.37,7.26,5.37,6.8,5.28,5.2,5.2,5.75
Crucible of Storms,0,0,0,0,0,0,0,0,0,0,0,0
The Eternal Palace,0,0,0,0,0,0,0,0,0,0,0,0
"Ny'alotha, the Waking City",4.78,4.76,5.13,1.05,0.99,5.13,5.8,5.58,0.95,0.91,5.12,5.13
Mythic +,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,8.33,11.11,13.89,21.62,16.67,12.82,11.11,12.5,17.95,15.56,9.8,13.89
Freehold,9.3,17.5,21.62,21.88,17.65,21.62,10.81,13.16,17.65,15,20.59,21.62
Kings' Rest,9.76,10.81,0,6.9,5.71,0,5.71,5.71,6.06,10.81,6.45,0
Operation: Mechagon,10.26,16.18,15,21.31,15.62,14.52,12.12,16.42,15.62,15.15,16.18,15
Shrine of the Storm,11.11,12.12,18.18,17.86,13.33,20,13.33,16.13,13.33,13.33,13.33,18.18
Siege of Boralus,14.81,26.09,19.05,8.7,8,19.05,14.81,14.81,8,8.7,26.09,19.05
Temple of Sethraliss,10.87,5.41,5.88,7.14,6.45,6.45,13.51,12.5,5.41,5.88,6.45,5.88
The MOTHERLODE!!,8.57,13.79,6.9,18.52,12.5,6.25,10,12.12,13.79,12.5,11.43,6.9
The Underrot,13.04,10,9.68,18.75,15,8.82,13.51,14.63,13.51,16.22,9.3,9.68
Tol Dagor,17.78,16.67,23.33,26.47,21.43,21.21,21.21,21.62,20.51,23.08,16.67,23.33
Waycrest Manor,10.71,13.21,21.95,12.5,11.32,19.15,10.64,13.33,10,12,13.21,21.95
Shadowlands,17.38,12.61,4.82,1.06,0.24,3.97,17.59,17.22,0.96,0.95,9.3,4.82
World Boss,0,0,0,0,0,0,0,0,0,0,0,0
Castle Nathria,5.59,8.07,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
De Other Side,30.77,16.67,10,12.5,0,0,40,40,9.09,10,10,10
Hall of Atonement,33.33,12.5,0,0,0,0,37.5,37.5,0,0,11.11,0
Mists of Tirna Scithe,13.04,22.5,0,0,0,0,16.22,15,0,0,19.57,0
The Necrotic Wake,8.11,19.35,12,0,0,12,10.71,9.68,0,0,21.43,12
Plaguefall,23.68,8.57,18.75,0,0,18.75,28.12,28.12,0,0,9.38,18.75
Sanguine Depths,24.32,17.65,0,0,0,0,26.47,26.47,0,0,17.65,0
Spires of Ascension,36.36,18.18,25,0,0,25,44.44,44.44,0,0,22.22,25
Theater of Pain,28.57,8.33,0,0,0,0,33.33,30.77,0,0,7.69,0
